Model,Year,Brand,Kms_driven,Price
KTM RC 390,2018,KTM,8832,180000 
TVS Victor,2018,TVS,38624,28000 
Bajaj Avenger Cruise 220,2017,Bajaj,14000,52000 
Bajaj Avenger Cruise 220,2017,Bajaj,14000,52000 
Honda CBR 250R,2015,Honda,11000,250000 
Royal Enfield Thunderbird 350,2013,Royal Enfield,34000,85000 
Suzuki Access 125 Disc,2018,Suzuki,20000,38000 
Hero Passion Pro,2022,Hero,50,75000 
TVS Ntorq 125,2021,TVS,12000,92000 
Royal Enfield Classic 350,2018,Royal Enfield,30000,140000 
Royal Enfield Bullet Electra,2004,Royal Enfield,18760,55000 
Royal Enfield Bullet Electra,2004,Royal Enfield,18760,55000 
Hero Splendor iSmart,2018,Hero,22259,50000 
Bajaj Avenger,2014,Bajaj,11580,62000 
Honda CB Hornet,2017,Honda,17800,80000 
Hero Karizma,2014,Hero,19000,60000 
Honda Activa 4G,2017,Honda,12684,42000 
Royal Enfield Bullet 350,2021,Royal Enfield,5000,200000 
Royal Enfield Classic 350,2020,Royal Enfield,2300,190000 
Royal Enfield Classic 350,2020,Royal Enfield,12200,180000 
TVS Apache RTR 160,2019,TVS,1276,92000 
TVS Apache RTR 160,2019,TVS,1276,92000 
TVS Jupiter,2020,TVS,12000,61000 
TVS Jupiter,2020,TVS,12000,61000 
Royal Enfield Bullet Electra,2016,Royal Enfield,15300,100000 
Suzuki Gixxer SF 250,2020,Suzuki,8000,158000 
Royal Enfield Classic 350,2021,Royal Enfield,3500,200000 
Royal Enfield Bullet Electra,2006,Royal Enfield,10000,45000 
Hero Ignitor,2012,Hero,40000,20000 
TVS Jupiter,2018,TVS,29600,45000 
Royal Enfield Classic 350,2014,Royal Enfield,100000,100000 
Bajaj Platina 125,2022,Bajaj,1100,70000 
Royal Enfield Bullet 500,2016,Royal Enfield,1100,150000 
Hero Passion X Pro,2016,Hero,25000,36500 
Hero Maestro,2016,Hero,32000,20000 
Hero Super Splendor,2021,Hero,25000,65000 
TVS Apache RTR 160,2020,TVS,22000,90000 
KTM RC 125,2020,KTM,11000,175000 
Royal Enfield Classic 350,2017,Royal Enfield,10000,100000 
Royal Enfield Classic 350,2017,Royal Enfield,10000,110000 
Honda Activa 4G,2017,Honda,6000,40000 
Honda Activa,2017,Honda,45000,49999 
Hero Xpulse 200T,2021,Hero,2000,115000 
Royal Enfield Bullet Electra,2017,Royal Enfield,38000,85000 
Jawa Original,2020,Jawa,6200,170000 
Yamaha YZF R15,2022,Yamaha,4500,160000 
Hero Achiever,2017,Hero,26420,40000 
Honda Livo,2019,Honda,10000,50000 
Hero Passion X Pro,2015,Hero,45000,30000 
Honda CB Shine,2018,Honda,25760,60000 
Yamaha FZ S,2011,Yamaha,28000,38000 
Yamaha FZ S,2015,Yamaha,35000,40000 
Bajaj Pulsar 180 DTS,2011,Bajaj,16000,36000 
Hero CBZ Xtreme,2012,Hero,39000,30000 
Honda Activa 5G,2019,Honda,24000,52000 
Mahindra Gusto,2015,Mahindra,38000,25000 
Hero Glamour,2020,Hero,23000,60000 
KTM Duke 200,2018,KTM,33586,105000 
Hero Passion X Pro,2019,Hero,19500,60000 
Bajaj Avenger Street 150,2016,Bajaj,24000,45000 
Royal Enfield Classic Desert,2016,Royal Enfield,36000,128000 
Honda CB Unicorn 160,2008,Honda,49,20000 
TVS Apache RTR 160,2019,TVS,12000,69000 
Hero Splendor Pro,2015,Hero,100000,35000 
Jawa Original,2020,Jawa,1800,170000 
UM Renegade Commando,2017,UM,3428,90000 
Hero Passion X Pro,2018,Hero,39000,44000 
Yamaha YZF R15,2021,Yamaha,6804,180000 
KTM 390 Duke ABS,2020,KTM,24500,220000 
Royal Enfield Bullet Electra,2009,Royal Enfield,55000,82000 
Royal Enfield Bullet Electra,2008,Royal Enfield,32209,62000 
KTM 390 Duke ABS,2020,KTM,21000,230000 
Royal Enfield Thunderbird 350,2017,Royal Enfield,16070,95000 
Hero Maestro,2016,Hero,32000,32000 
TVS Ntorq 125,2019,TVS,34000,75000 
Hyosung Aquila pro 650,2017,Hyosung,8000,320000 
Yamaha Ray,2016,Yamaha,12000,55000 
TVS Star City Plus,2016,TVS,43000,30000 
Bajaj Avenger Street 160,2019,Bajaj,17840,72000 
Yamaha FZ1,2010,Yamaha,17000,17500 
Royal Enfield Continental GT,2014,Royal Enfield,13000,155000 
Bajaj Discover 150,2015,Bajaj,20700,29500 
Honda CB Trigger,2013,Honda,18000,38000 
Royal Enfield Thunderbird 350,2010,Royal Enfield,40000,50000 
Bajaj Discover 125 ST,2013,Bajaj,35000,35000 
Bajaj Pulsar 180 DTS,2015,Bajaj,20000,50000 
TVS Apache RTR 180,2014,TVS,11000,50000 
Honda Activa 3G,2016,Honda,31400,37500 
TVS Star City Plus,2015,TVS,61000,28000 
Hero Glamour,2014,Hero,51500,30000 
Yamaha FZ S,2015,Yamaha,28000,40000 
TVS Jupiter,2022,TVS,3500,73000 
TVS Jupiter,2022,TVS,3500,72000 
Harley Davidson Sportster Forty,2020,Harley,2600,850000 
Hero Splendor Plus,2021,Hero,9000,65000 
Suzuki Access,2011,Suzuki,35000,22000 
Yamaha Crux S,2020,Yamaha,14000,160000 
Yamaha SZ RR,2015,Yamaha,32000,28000 
Hero Splendor NXG,2009,Hero,33000,21000 
Yamaha YZF R15,2019,Yamaha,18563,110000 
Hero Passion Pro,2013,Hero,38000,28000 
Yamaha FZ S,2021,Yamaha,16000,95000 
BMW S 1000 R,2019,BMW,20000,
Aprilia SR 150,2018,Aprilia,2300,90000 
Bajaj Discover 100,2013,Bajaj,30000,25000 
Honda CB Shine,2020,Honda,25000,52000 
TVS Apache RTR 160,2019,TVS,7000,80000 
TVS Apache RTR 160,2019,TVS,10000,70000 
Jawa 42,2020,Jawa,14000,129999 
Royal Enfield Classic Desert,2017,Royal Enfield,16000,160000 
Bajaj Avenger Street 150,2017,Bajaj,10800,55000 
Bajaj Avenger Cruise 220,2015,Bajaj,13000,45000 
Bajaj Avenger Cruise 220,2013,Bajaj,55000,40000 
Bajaj Pulsar 200 NS,2012,Bajaj,16000,60000 
Bajaj Pulsar 200 NS,2012,Bajaj,16000,55000 
TVS Star Sport,2020,TVS,30000,45000 
KTM 390 Duke ABS,2018,KTM,7300,170000 
Jawa 42,2020,Jawa,3550,175000 
TVS Apache RTR 200,2016,TVS,26500,65000 
Bajaj Pulsar 200 RS,2016,Bajaj,16000,90000 
Bajaj Pulsar 200 RS,2016,Bajaj,16000,90000 
Royal Enfield Classic 500,2016,Royal Enfield,14000,158000 
TVS Apache RTR 160,2018,TVS,18000,95000 
KTM RC 390,2020,KTM,6500,275000 
Royal Enfield Classic 350,2016,Royal Enfield,20000,120000 
TVS Apache RTR 200,2018,TVS,11000,65000 
TVS Apache RTR 160,2019,TVS,33000,100000 
Royal Enfield Classic 500,2014,Royal Enfield,28000,100000 
Aprilia SRV 850 ABS,2022,Aprilia,0,68000 
Honda Aviator,2011,Honda,45000,20000 
TVS Apache RTR 160,2014,TVS,43000,50000 
Bajaj 4S Champion,2019,Bajaj,5000,50000 
Hero Karizma ZMR,2014,Hero,4300,50000 
Suzuki Gixxer,2016,Suzuki,25730,44000 
Yamaha YZF R15,2022,Yamaha,3000,190000 
Royal Enfield Bullet 350,2022,Royal Enfield,900,175000 
Royal Enfield Himalayan,2016,Royal Enfield,19000,110000 
Bajaj Pulsar 135 LS,2014,Bajaj,75000,30000 
Royal Enfield Classic 350,2014,Royal Enfield,35000,100000 
Honda Activa 125,2021,Honda,15000,70000 
Bajaj Avenger Cruise 220,2016,Bajaj,55000,68000 
Bajaj Avenger Cruise 220,2016,Bajaj,55000,68000 
Royal Enfield Thunderbird 350X,2018,Royal Enfield,24768,130000 
Suzuki Gixxer SF,2017,Suzuki,66000,55000 
TVS Apache RTR 160,2018,TVS,15000,75000 
Honda Dio,2018,Honda,2100,60000 
Honda Dio,2018,Honda,2100,60000 
Suzuki Burgman Street,2019,Suzuki,5566,65000 
YO Bikes Yo Smart,2022,YO Bikes,220,65000 
Royal Enfield Bullet 350,2019,Royal Enfield,6000,175000 
Bajaj CT 100,2021,Bajaj,20301,60000 
Honda Activa 125,2020,Honda,10000,60000 
Bajaj Discover 150,2015,Bajaj,45000,25000 
Royal Enfield Bullet 350,2009,Royal Enfield,40000,80000 
Bajaj Avenger Cruise 220,2017,Bajaj,15000,59000 
