Model,Year,Brand,Kms_driven,Fuel_type,Price
Maruti Suzuki Swift,2013,Maruti,70063, Petrol ,350099
Honda City,2018,Honda,17408, Petrol ,1124199
Hyundai Verna 1.6,2014,Hyundai,68000, Diesel,525000
Maruti Suzuki Swift,2016,Maruti,56000, CNG,475000
Maruti Suzuki Swift,2015,Maruti,45000, Diesel,499000
Mahindra Scorpio VLX,2014,Mahindra,99000, Diesel,650000
Maruti Suzuki Swift,2017,Maruti,107000, Diesel,625000
Hyundai Accent Executive,2010,Hyundai,63000, Petrol,260001
Hyundai i20 Active,2018,Hyundai,7876, Petrol,595000
Maruti Suzuki Ertiga,2018,Maruti,69108, Diesel,745000
Honda City,2018,Honda,17408, Petrol ,1124199
Tata Hexa,2018,Tata,89892, Diesel ,983699
Maruti Suzuki Baleno,2021,Maruti,9912, Petrol ,673899
Tata Harrier,2019,Tata,43822, Diesel ,1373599
Volkswagen Ameo,2016,Volkswagen,64376, Petrol ,468599
Maruti Suzuki Alto,2018,Maruti,39864, Petrol ,301899
Maruti Suzuki Swift,2018,Maruti,11810, Petrol ,640599
Maruti Suzuki Vitara,2017,Maruti,45136, Diesel ,918299
Volkswagen Polo,2013,Volkswagen,39227, Petrol ,385699
Maruti Suzuki Alto,2018,Maruti,17759, Petrol ,339599
Honda Jazz,2016,Honda,53740, Petrol ,464899
Hyundai Elite i20,2016,Hyundai,32975, Petrol ,530099
Renault Kwid,2021,Renault,10047, Petrol ,527399
Maruti Suzuki Wagon,2019,Maruti,24177, Petrol ,525899
Maruti Suzuki S,2017,Maruti,45475, Diesel ,758999
Volkswagen Vento,2015,Volkswagen,63202, Diesel ,591899
Maruti Suzuki Wagon,2020,Maruti,15200, Petrol,689000
Ford Figo Select,2016,Ford,104500, Diesel ,425000
Mercedes Benz C,2013,Mercedes,87500, Diesel ,1550000
Mercedes Benz E,2016,Mercedes,36000, Petrol ,2150000
Chevrolet Cruze LTZ,2011,Chevrolet,115000, Diesel,385000
Honda City 1.5,1999,Honda,114400, Petrol,125000
BMW 3 Series,2012,BMW,33000, Diesel ,1500000
Maruti Suzuki Ertiga,2022,Maruti,9500, CNG,1225000
Maruti Suzuki Wagon,2015,Maruti,43769, Petrol ,332099
Hyundai Creta,2019,Hyundai,21137, Petrol ,1317099
Hyundai Elite i20,2019,Hyundai,65700, Diesel ,823499
Maruti Suzuki Ciaz,2018,Maruti,46681, Petrol ,880399
Hyundai Xcent,2016,Hyundai,58240, Petrol ,515199
Hyundai Creta,2016,Hyundai,56927, Petrol ,705999
Maruti Suzuki S,2015,Maruti,70269, Diesel ,480899
Hyundai Verna,2014,Hyundai,76395, Petrol ,482799
Maruti Suzuki Alto,2020,Maruti,5117, Petrol ,413299
Honda Jazz,2018,Honda,15836, Petrol ,685599
Hyundai Creta 1.6,2019,Hyundai,22050, Petrol ,1142799
Maruti Suzuki Dzire,2017,Maruti,19480, Petrol ,702999
Maruti Suzuki Vitara,2017,Maruti,33282, Diesel ,862199
Honda City VX,2016,Honda,67929, Petrol ,763499
Hyundai Grand i10,2019,Hyundai,8223, Petrol ,622599
Honda Civic ZX,2020,Honda,46997, Petrol ,1891299
Renault Fluence Diesel,2012,Renault,75450, Diesel,425000
Hyundai i10 Magna,2009,Hyundai,82000, Petrol ,165000
Maruti Suzuki Swift,2010,Maruti,101850, Petrol ,185000
Tata Indica Vista,2011,Tata,56000, Diesel ,120000
Maruti Suzuki Wagon,2013,Maruti,54018, Petrol,325000
Maruti Suzuki OMNI,2016,Maruti,62100, Petrol,260000
Maruti Suzuki Wagon,2020,Maruti,32000, CNG,600000
Maruti Suzuki Swift,2010,Maruti,94000, Petrol,321000
Hyundai Elite i20,2017,Hyundai,29532, Petrol ,591499
Toyota Yaris VX,2018,Toyota,49176, Petrol ,1086999
Maruti Suzuki Dzire,2018,Maruti,36342, Petrol ,651199
Datsun Redi GO,2017,Datsun,22637, Petrol ,214699
Ford Ecosport,2019,Ford,54083, Diesel ,910099
Honda Amaze,2021,Honda,7351, Petrol ,762199
Maruti Suzuki Alto,2021,Maruti,9663, Petrol ,410899
Maruti Suzuki Alto,2017,Maruti,2229, Petrol ,299499
Ford Ecosport,2021,Ford,12851, Diesel ,1263899
Maruti Suzuki Alto,2019,Maruti,14509, Petrol ,355099
Renault Kwid,2020,Renault,6056, Petrol ,485899
Tata Harrier,2019,Tata,55447, Diesel ,1431599
Toyota Corolla Altis,2018,Toyota,53630, Petrol ,1088099
Maruti Suzuki Alto,2019,Maruti,31492, Petrol ,406799
Maruti Suzuki Baleno,2019,Maruti,28555, Petrol ,680799
Maruti Suzuki Ciaz,2015,Maruti,102534, Diesel ,565199
Ford EcoSport Ambiente,2016,Ford,168500, Diesel,599000
Mahindra Scorpio SLE,2010,Mahindra,96000, Diesel,425000
Mahindra XUV 700,2022,Mahindra,3600, Petrol ,1850000
Land Rover Freelander,2012,Land Rover,150000, Diesel,700000
Maruti Suzuki Swift,2017,Maruti,62000, Petrol,525000
Tata Tigor Revotron,2021,Tata,10000, Petrol,650000
Tata Tiago XZ,2018,Tata,36600, Petrol,550000
Maruti Suzuki Dzire,2019,Maruti,13250, Petrol,625000
Maruti Suzuki Alto,2014,Maruti,27046, Petrol ,252499
Hyundai Elite i20,2018,Hyundai,90874, Petrol ,517799
Maruti Suzuki Ciaz,2015,Maruti,43222, Petrol ,544899
Maruti Suzuki Alto,2021,Maruti,2201, Petrol ,410999
Ford Ecosport,2016,Ford,38894, Petrol ,691399
Maruti Suzuki Alto,2016,Maruti,23026, Petrol ,298199
Maruti Suzuki Alto,2018,Maruti,31666, Petrol ,352799
Hyundai Elite i20,2018,Hyundai,25689, Petrol ,610599
Maruti Suzuki Eeco,2021,Maruti,12028, Petrol ,532199
Honda Amaze,2019,Honda,13930, Petrol ,789399
Hyundai i10,2013,Hyundai,76104, Petrol + CNG ,336899
Tata Nexon,2021,Tata,7395, Petrol ,1160399
Honda Amaze,2019,Honda,26864, Petrol ,849399
Tata Tiago,2017,Tata,91618, Diesel ,423499
Hyundai Grand i10,2019,Hyundai,24648, Petrol ,580299
Hyundai Grand i10,2016,Hyundai,21379, Petrol ,500199
Maruti Suzuki Swift,2013,Maruti,92000, Diesel,450000
Hyundai Fluidic Verna,2012,Hyundai,87000, Diesel,475000
Maruti Suzuki Wagon,2017,Maruti,17000, Petrol,375000
Maruti Suzuki Alto,2009,Maruti,72000, Petrol,170000
Hyundai Elite i20,2016,Hyundai,71000, Diesel,650000
Maruti Suzuki Swift,2017,Maruti,62000, Petrol,525000
Hyundai Santro 1.1,2006,Hyundai,52000, Petrol,180000
Maruti Suzuki SX4,2011,Maruti,92000, CNG,200000
Maruti Suzuki Swift,2018,Maruti,18726, Petrol ,551199
Hyundai Venue,2019,Hyundai,29852, Petrol ,871699
Honda Amaze,2016,Honda,47840, Petrol ,506099
Hyundai i10 Magna,2013,Hyundai,74961, Petrol ,238399
Hyundai Grand i10,2016,Hyundai,37532, Petrol ,440199
Maruti Suzuki Alto,2018,Maruti,42099, Petrol ,333599
Hyundai Creta,2018,Hyundai,33823, Petrol ,1147699
Maruti Suzuki Celerio,2015,Maruti,44321, Petrol ,377799
Hyundai Creta,2016,Hyundai,62672, Petrol ,834749
Toyota Etios V,2018,Toyota,19949, Petrol ,546599
Maruti Suzuki Ignis,2017,Maruti,11326, Petrol ,531199
Maruti Suzuki Vitara,2017,Maruti,25437, Diesel ,774599
Maruti Suzuki Wagon,2020,Maruti,10673, Petrol ,652499
Maruti Suzuki Swift,2019,Maruti,57330, Petrol ,586499
Maruti Suzuki S,2020,Maruti,4493, Petrol ,467899
Jeep Compass,2021,Jeep,10459, Petrol ,1832399
Maruti Suzuki SX4,2011,Maruti,92000, CNG ,220000
Maruti Suzuki Omni,1999,Maruti,50000, LPG,88000
Maruti Suzuki Alto,2009,Maruti,60000, Petrol ,145000
Maruti Suzuki Alto,2008,Maruti,65000, Petrol ,135000
